Topic	Irish	English	Phonetic	Sound	Info																																																							
Weather	te	hot	chay																																																									
Weather	gaofar	windy	gweefor/geefo?																																																									
Weather	tirim	dry	Chur-im																																																									
Weather	Taise	damp	tasha																																																									
Weather	grianmhar	sunny	grain-wur																																																									
Weather	scamillach	cloudy	scam-ill-ock																																																									
Weather	ceomhar	foggy	kyowar??																																																									
Weather	geal	bright	gyal																																																									
Weather	dorcha	dark	dora-ha																																																									
Weather																																																												
Weather	ag cur fearthainne	raining	ig cur far-heen-ya																																																									
Weather	ag cur sneachta	snowing	ag cur snock-ta																																																									
Weather																																																												
Weather	iontach	extremely / very	inta?																																																									
Weather	iontach fuar	very cold																																																										
Weather	iontach fliuch	very wet	flu(ch) [(ch) = soft k]																																																									
Weather	iontach te	very hot	ta shay chay																																																									
Weather																																																												
Weather	Tá sé...	it is...	taa shay																																																									
Weather	Bhí sé...	it was...	vee shay																																																									
Weather	Níl sé...	it is not...	taa shay																																																									
Weather	Tá sé lá...	it is a ... day	taa shay laa ... day																																																									
Weather																																																												
Weather	Tá	Yes [to agree with the weather]																																																										
Weather	Tá, cinnte.	It is indeed/surely.	teh, kintche																																																									
Weather																																																												
Weather	Tá lá breá ann.	It's a fine day.	teh leh breah ann																																																									
Weather	Tá lá breá ann inniu.	It's a fine day today.	teh leh breah ann inn-u																																																									
Weather																																																												
Weather	...Buíochas le Dia	...thank God	bwayhas le djia		is used quite frequently in this context.																																																							
Weather																																																												
Weather	Tá drochlá ann.	It's a bad day.	teh drock-leh ann																																																									
Weather	Tá drochlá ann inniu.	It's a bad day today.	teh drock-leh ann inn-u																																																									
Introductions	CUR IN AITHNE	INTRODUCTIONS	cur in an-yuh																																																									
Introductions	ainm	Name																																																										
Introductions	sloinne	surname	slin-you																																																									
Introductions	sloinnte	surnames																																																										
Introductions																																																												
Introductions	Cad é an t-ainm atá ort?	What is your name? [What name is on you?]																																																										
Introductions	Cad é an t-ainm atá ort féin?	What is your own name?																																																										
Introductions	>$NAME an t-ainm atá orm.	My name is $NAME [$NAME is the name on me]																																																										
Introductions																																																												
Introductions	Cé thusa?	Who are you?	Kay husa?																																																									
Introductions	>Is mise $NAME	I am $NAME																																																										
Introductions	>Mise $NAME	I'm $NAME																																																										
Introductions																																																												
Introductions	Cad é an sloinne atá ort?	What is your surname?	..slinyou..																																																									
Introductions	>$SURNAME an sloinne atá orm.	My surname is $SURNAME																																																										
Introductions																																																												
Introductions	C'ainm atá ort?	What's your name?																																																										
Introductions	C'ainm atá ortsa?	What's *your* name?																																																										
Introductions	>$NAME				Usually just the surname																																																							
Introductions																																																												
Introductions	Cé seo?	Who's this? (one person)																																																										
Introductions	Cé hiad seo?	Who's this? (more than one person) Who are these?																																																										
Introductions	Seo $NAME	This is $NAME																																																										
Introductions	Cé hiad sin?	Who are they/those? (more than one person)																																																										
Introductions																																																												
Introductions	Cé hé sin?	Who is he?																																																										
Introductions	> Sin (é) $NAME.	He is $NAME.																																																										
Introductions																																																												
Introductions																																																												
Introductions	Cé mise?	Who am I?																																																										
Introductions	Cé hé?	Who is he?																																																										
Introductions	Is é... é	He is																																																										
Introductions	Cé hí?	Who is she?																																																										
Introductions	Is í... í	She is																																																										
Introductions	Cé sinne?	Who are we?																																																										
Introductions	Cé hiad?	Who are they?																																																										
Introductions	Is iad... iad	They are...																																																										
Introductions																																																												
Introductions	ar	on	air																																																									
Introductions	ár	our	are																																																									
Introductions	fear	man	far																																																									
Introductions	féar	grass	fay-r																																																									
Introductions	fionn	blond	finn																																																									
Introductions	fíon	wine	fee-in																																																									
Introductions	solas	light	sawlas																																																									
Introductions	sólás	comfort	sow-laas																																																									
Introductions	gunna	gun	gun-na																																																									
Introductions	gúna	dress	goona																																																									
Family	an teaghlach	the family	an chay-la																																																									
Family	Mo theaghlach	My family	mo hay-la																																																									
Family																																																												
Family	athair	father	aher																																																									
Family	máthair	mother	mah-her																																																									
Family	mamaí?	mum?																																																										
Family	deirfiúr	sister	djerifur																																																									
Family	deartháir	brother	djaher																																																									
Family	iníon*	daughter	nyee-in (like news)		* In Ulster the i at the beginning of iníon is not pronounced.																																																							
Family	iníonacha	daughters																																																										
Family	mac	son	mawck																																																									
Family																																																												
Family	céile	spouse	kayla																																																									
Family	fear céile	husband [man spouse]	far kayla																																																									
Family	bean chéile	wife [woman spouse]	ban hayla																																																									
Family	EXTENDED																																																											
Family	tuismitheoirí	parents																																																										
Family	dheartháireacha	brothers??																																																										
Family	deirfiúracha	sisters																																																										
Family	seanathair	grandfather																																																										
Family	athair mór	grandfather																																																										
Family	seanmháthair	grandmother																																																										
Family	máthair mhór	grandmother																																																										
Family																																																												
Family	uncail	uncle																																																										
Family	aintin	aunt																																																										
Family																																																												
Family	col ceathrair	cousin																																																										
Family	col ceathracha	cousins																																																										
Family																																																												
Family	leasathair	stepfather																																																										
Family	leasmháthair	stepmother																																																										
Family	leasdeirfiúr	stepsister																																																										
Family	leasdeartháir	stepbrother																																																										
Family																																																												
Family	neacht	niece																																																										
Family	nia	nephew																																																										
Family																																																												
Family	Seo mo mháthair.	That's my mother	..mo wahher																																																									
Family	Seo m'athair.	That's my father	..maher																																																									
Family	Seo m'iníon.	That's my daughter	..minyee-in																																																									
Family	Seo mo mhac.	That's my son	.. mo wock																																																									
Family	Seo mo dheartháir.	That's my brother	.. mo yeah-her																																																									
Family	Seo mo dheirfiúr.	That's my sister	.. mo yerifur																																																									
Family		This is how you introduce more than one daughter or son:																																																										
Family	Seo mo chuid iníonacha...		...whid nyeenacha...																																																									
Family	Seo mo chuid mac...		...whid mawk...																																																									
Person Background	Cá as tú?	Where are you from?			After giving your response, you can ask the same question in the following ways:																																																							
Person Background	Cá as túsa?	Where are *you* from?  or																																																										
Person Background	Cá as tú féin?	Where are you from yourself?																																																										
Person Background	Agus tú féin?	And yourself?	Agus tu hain?																																																									
Person Background																																																												
Person Background	Cárb as thú?	Where are you from?	Carb ass who?																																																									
Person Background	Cárb as thú féin?	Where are you from yourself?	Carb ass who hain?																																																									
Person Background	Cárb as thú, a $NAME?	Where are you from, $NANE?	Carb ass who, $NAME?																																																									
Person Background																																																												
Person Background	Is as ... mé.	I'm from ...																																																										
Person Background	Is as Dún Geanainn mé.	I'm from Dungannon.																																																										
Person Background	As Léim an Mhadaidh.	From Limavady.																																																										
Person Background																																																												
Person Background	Cá bhfuil tú?	Where are you?																																																										
Person Background	Cá bhfuil tú i do chónaí?	Where do you live? (literal: where are you in your living?)																																																										
Person Background	Tá mé i mo chónaí i(n)...	I live in...																																																										
Person Background	Tá mé i mo chónaí in Aontroim.	I live in Antrim.																																																										
Person Background	Tá mé i mo chónaí i nDún Geanainn.	I live in Dungannon.																																																										
Person Background																																																												
Person Background	An bhfuil sé deas?	Is it nice?	An whil shay jeas?																																																									
Person Background	Tá sé deas	It is nice																																																										
Person Background	Tá sé go maith	It is good																																																										
Person Background	An maith leat é?	Do you like it?																																																										
Person Background	Is maith liom é.	I like it.																																																										
Person Background	Is maith.	I like it.			Shorter and acceptable																																																							
Person Background																																																												
Person Background	seoladh	address	shaw-loo																																																									
Person Background	Cad é an seoladh atá agat?	What's your address?																																																										
Person Background																																																												
Person Background	Aít bhreithe	Place of birth	eh-tch vrey-ha																																																									
Person Background																																																												
Person Background	Is as Ard Mhacha **ó dhúchas** mé, ach tá mé i mo chónaí i mBeal Feirste anois.	I'm originally from Armagh, but I live in Belfast now.	As Ard Whacha **oh huhas** meh, ack taw may i mo hoaney in mel ferste anish																																																									
Person Background																																																												
Person Background	sráid	street	sradg																																																									
Person Background	bóthar	road	baw-her																																																									
Person Background	lár	centre	lar																																																									
Person Background	taobh amuigh	outside	too amwee																																																									
Person Background	baile	town	balla																																																									
Person Background	cathrach	city	ceh-hra																																																									
Person Background	tuath	countryside	too-a																																																									
Person Background																																																												
Person Background	Tá mé i mo chónaí ...	I live ...																																																										
Person Background	... i lár an bhaile.	... in the centre of town.	.. i lar an whalla																																																									
Person Background	... taobh amuigh den bhaile.	... outside the town	.. too amwee den whalla???																																																									
Person Background	... faoin tuath	... in the countryside	fween too-a																																																									
Person Background	... i lár na cathrach	... in the city centre.	i lar na ceh-hra		maybe.. in the center of the city???																																																							
Person Background	... ar shráid Anraí	... on Henry Street	ar hradg anry																																																									
Person Background	... ar Bhóthar na Carraige	... on Carrick Road	ar waw-her na carriga																																																									
Numbers	Náid	Zero	Nawj																																																									
Numbers	Aon	One	Ayn																																																									
Numbers	Dó	Two	Doh																																																									
Numbers	Trí	Three	Tree																																																									
Numbers	Ceathair	Four	KYA-hir																																																									
Numbers	Cúig	Five	KOO-ig																																																									
Numbers	Sé	Six	Shay																																																									
Numbers	Seacht	Seven	Shakht																																																									
Numbers	Ocht	Eight	Awkht																																																									
Numbers	Naoi	Nine	Nee																																																									
Numbers	Deich	Ten	Jay																																																									
Numbers																																																												
Numbers	uimhir	number	ever																																																									
Numbers	uimhreacha	numbers																																																										
Numbers	na huimhreacha	the numbers																																																										
Numbers																																																												
Numbers	a náid	zero																																																										
Numbers																																																												
Numbers	a haon	one																																																										
Numbers	a dó	two																																																										
Numbers	a trí	three																																																										
Numbers	a ceathair	four																																																										
Numbers	a cúig	five																																																										
Numbers	a sé	six																																																										
Numbers	a seacht	seven																																																										
Numbers	a hocht	eight																																																										
Numbers	a naoi	nine																																																										
Numbers																																																												
Numbers	a deich	ten																																																										
Numbers																																																												
Numbers	a haon déag	eleven																																																										
Numbers	a dó dhéag	twelve	doe yeag																																																									
Numbers	a trí déag	thirteen																																																										
Numbers	a ceathair déag	fourteen																																																										
Numbers	a cúig déag	fifteen																																																										
Numbers	a sé déag	sixteen																																																										
Numbers	a seacht déag	seventeen																																																										
Numbers	a hocht déag	eighteen																																																										
Numbers	a naoi déag	nineteen																																																										
Numbers	fiche	twenty	fihha																																																									
Numbers																																																												
Numbers	fiche a haon	twenty one	fihha a haon																																																									
Numbers	...																																																											
Numbers	triocha	thirty	truck-ah																																																									
Numbers	daichead/Ceathracha	forty	die-hid/Cara-hach																																																									
Numbers	caoga	fifty	cway-gah																																																									
Numbers	seasca	sixty	shahs-kah																																																									
Numbers	seachtó	seventy	shock toe																																																									
Numbers	ochtó	eighty	uck toe																																																									
Numbers	nócha	ninety	noe-kah																																																									
Numbers	céad	hundred	cay-d																																																									
Numbers	míle	thousand	meala																																																									
Numbers	milliún	million	millyun																																																									
Numbers																																																												
Numbers	aon bhliain amhain	1 YEAR																																																										
Numbers	...																																																											
Numbers	dhá bhliain	2 YEARS																																																										
Numbers	trí / ceithre / cúig / sé bliana	3-6 YEARS																																																										
Numbers	seacht / ocht / naoi / deich mbliana	7-10 YEARS																																																										
Numbers	...																																																											
Numbers	aon bhliain déag	11 YEARS																																																										
Numbers	dhá bhliain déag	12 YEARS																																																										
Numbers	trí / ceithre / cúig / sé bliana déag	13-16 YEARS																																																										
Numbers	seacht / ocht / naoi mbliana déag	17-19 YEARS																																																										
Numbers	...																																																											
Numbers	fiche bliain	20 YEARS																																																										
Numbers	aon bliain is fiche	21 YEARS																																																										
Numbers	dhá bhliain is fiche	22 YEARS																																																										
Numbers	trí / ceithre / cúig / sé bliana is fiche	23-26 YEARS																																																										
Numbers	seacht / ocht / naoi mbliana is fiche	27-29 YEARS																																																										
Numbers	...																																																											
Numbers	tríocha bliain	30 YEARS																																																										
Numbers	daichead bliain	40 YEARS																																																										
Numbers	caoga bliain	50 YEARS																																																										
Numbers	seasca bliain	60 YEARS																																																										
Numbers	seachtó bliain	70 YEARS																																																										
Numbers	ochtó bliain	80 YEARS																																																										
Numbers	nócha bliain	90 YEARS																																																										
Numbers	céad bliain	100 YEARS																																																										
Numbers																																																												
Numbers	an chéad	first																																																										
Numbers	an dara	second																																																										
Numbers	an triú	third																																																										
Numbers	an ceathrú	fourth																																																										
Numbers	an cúigiú	fifth																																																										
Numbers	an séú	sixth																																																										
Numbers	an seachtú	seventh																																																										
Numbers	an t-ochtú	eighth																																																										
Numbers	an naoú	ninth																																																										
Numbers	an deichiú	tenth																																																										
Numbers	an t-aonú lá déag	the eleventh day																																																										
Numbers	an fichiú	twentieth																																																										
Numbers	an t-aonú lá is fiche	the twenty-first day																																																										
Numbers																																																												
Numbers	teanga	a language																																																										
Numbers	teangacha	languages																																																										
Numbers																																																												
Numbers	teanga amháin	one language																																																										
Numbers	dhá theanga	two languages																																																										
Numbers	trí theanga	three languages																																																										
Numbers	ceithre theanga	four languages	kera																																																									
Numbers	cúig theanga	five languages																																																										
Numbers	sé theanga	six languages																																																										
Numbers																																																												
Numbers	rothar	bicycle																																																										
Numbers	rothar amháin	one bicylce																																																										
Numbers	dhá rothar	two bicylces																																																										
Numbers																																																												
Numbers	cathaoir	chair																																																										
Numbers	cathaoir amháin	one chair	cih-her??																																																									
Numbers	dhá chathaoir	two chairs	yeh hih-her																																																									
Numbers																																																												
Numbers	pionta	pint																																																										
Numbers	pionta amháin	one pint																																																										
Numbers	trí phionta	three pints																																																										
Numbers	cúig phionta	five pint																																																										
Numbers	seacht bpionta	seven pints																																																										
Numbers	ocht bpionta	eight pints																																																										
Numbers	deich bpionta	ten pints																																																										
Numbers																																																												
Numbers	leabhar	book																																																										
Numbers	trí leabhar	three books																																																										
Numbers																																																												
Numbers	doras	door																																																										
Numbers	doras amháin	one door																																																										
Numbers	ceithre dhoras	four doors																																																										
Numbers																																																												
Numbers	bosca	box	boxsa																																																									
Numbers	ceithre bhosca	four boxes	kera woxsa																																																									
Numbers	ocht mbosca	eight boxes	okt moxsa																																																									
Numbers																																																												
Numbers	buidéal	bottle																																																										
Numbers	buidéal amháin	one bottle																																																										
Numbers	cúig bhuidéal	five bottles																																																										
Numbers	seacht mbuidéal	seven bottles																																																										
Numbers																																																												
Numbers	caife	coffee																																																										
Numbers	caife amháin	one coffee																																																										
Numbers	sé chaife	six coffees																																																										
Numbers																																																												
Numbers	oráiste	orange																																																										
Numbers	oráistí	oranges																																																										
Numbers	cúig oráiste	five oranges																																																										
Numbers																																																												
Numbers	seacht sú oráiste	seven orange juices																																																										
Numbers																																																												
Numbers	gloine	glass																																																										
Numbers	gloine amháin	one glass																																																										
Numbers	naoi ngloine	nine glasses																																																										
Numbers																																																												
Numbers																																																												
Numbers	tábla	table																																																										
Numbers	ceithre thábla	four tables																																																										
Numbers																																																												
Numbers																																																												
Numbers	úll	apple																																																										
Numbers	ceithre úll	four apples																																																										
Numbers																																																												
Numbers	cóta	coat																																																										
Numbers	naoi gcóta	nine coats																																																										
Numbers																																																												
Numbers	geansaí	jumper																																																										
Numbers	deich ngeansaí	nine jumpers																																																										
Phone	Cad é d'uimhir fóin?	What's your phone number?																																																										
Phone	D'uimhir fóin?	Your phone number?																																																										
Time	am	time	am																																																									
Time	Cad é an t-am atá sé?	What time is it?																																																										
Time	Cad é an t-am atá sé, le do thoil?	What time is it, please?																																																										
Time	Cad é an t-am?	What time?																																																										
Time																																																												
Time	Cén t-am é?	What time is it?																																																										
Time	Cén t-am?	What time?																																																										
Time																																																												
Time	Tá sé ... a chlog. It's ... o'clock.																																																											
Time	... a chlog.	... o'clock.																																																										
Time																																																												
Time	a haon a chlog																																																											
Time	a dó a chlog																																																											
Time	a trí a chlog																																																											
Time	a ceathair a chlog																																																											
Time	a cúig a chlog																																																											
Time	a sé a chlog																																																											
Time	a seacht a chlog																																																											
Time	a hocht a chlog																																																											
Time	a naoi a chlog																																																											
Time	a deich a chlog																																																											
Time	a haon déag a chlog																																																											
Time	a dó dhéag a chlog																																																											
Time																																																												
Time	ceathrú	quarter	ceahroo																																																									
Time	leath	half	la (maybe lya??)																																																									
Time																																																												
Time	ceathrú i ndiaidh ...	a quarter past ...	ceahroo i nyay...																																																									
Time	leath i ndiaidh ...	half past ...	la i nyay...																																																									
Time	ceathrú go dtí ...	a quarter to ...	ceahroo go gee..																																																									
Time																																																												
Time	cúig bomaite i ndiaidh	five minutes past??																																																										
Time	cúig i ndiaidh	five past??																																																										
Time	fiche go dtí a hocht	twenty to 8																																																										
Time																																																												
Time	Bhí sé ... a chlog.	It was ... o'clock.	vee shay...																																																									
Time	soicind	second	second																																																									
Time	bomaite	minute																																																										
Places	Cúige	province (of Ireland/fifths)	cwig-a																																																									
Places	Contae	County	cont-ay																																																									
Places																																																												
Places	Uladh	Ulster	ull-oo																																																									
Places	Mumhan	Munster	moo-an																																																									
Places	Laighean	Leinster	lie-on																																																									
Places	Connachta	Connacht	con-awcta																																																									
Places																																																												
Places	Cúige Uladh	County Ulster	cwig-a ull-oo																																																									
Places	Cúige Mumhan	County Munster	cwig-a moo-an																																																									
Places	Cúige Laighean	County Leinster	cwig-a lie-on																																																									
Places	Cúige Chonnacht	County Connacht	cwig-a hon-awct																																																									
Places																																																												
Places	Aontroim (Contae Aontroma)	Antrim			Ulster																																																							
Places	Ard Mhacha (Contae Ard Mhacha)	Armagh			Ulster																																																							
Places	Ceatharlach (Contae Cheatharlach)	Carlow			Leinster																																																							
Places	An Cabhán (Contae an Chabháin)	Cavan			Ulster																																																							
Places	An Clár (Contae an Chláir)	Clare			Munster																																																							
Places	Corcaigh (Contae Chorcaí)	Cork			Munster																																																							
Places	Dún na nGall (Contae Dhún na nGall)	Donegal			Ulster																																																							
Places	An Dún (Contae an Dúin)	Down			Ulster																																																							
Places	Baile Átha Cliath (Contae Bhaile Átha Cliath)	Dublin			Leinster																																																							
Places	Fear Manach (Contae Fhear Manach)	Fermanagh			Ulster																																																							
Places	Gaillimh (Contae na Gaillimhe)	Galway			Connacht																																																							
Places	Ciarraí (Contae Chiarraí)	Kerry			Munster																																																							
Places	Cill Dara (Contae Chill Dara)	Kildare			Leinster																																																							
Places	Cill Chainnigh (Contae Chill Chainnigh)	Kilkenny			Leinster																																																							
Places	Laois (Contae Laoise)	Laois			Leinster																																																							
Places	Liatroim (Contae Liatroma)	Leitrim			Connacht																																																							
Places	Luimneach (Contae Luimnigh)	Limerick			Munster																																																							
Places	Doire (Contae Dhoire)	Derry			Ulster																																																							
Places	An Longfort (Contae an Longfoirt)	Longford			Leinster																																																							
Places	Lú (Contae Lú)	Louth			Leinster																																																							
Places	Maigh Eo (Contae Mhaigh Eo)	Mayo			Connacht																																																							
Places	An Mhí (Contae na Mí)	Meath			Leinster																																																							
Places	Muineachán (Contae Mhuineacháin)	Monaghan			Ulster																																																							
Places	Uíbh Fhailí (Contae Uíbh Fhailí)	Offaly			Leinster																																																							
Places	Ros Comáin (Contae Ros Comáin)	Roscommon			Connacht																																																							
Places	Sligeach (Contae Shligigh)	Sligo			Connacht																																																							
Places	Tiobraid Árann (Contae Thiobraid Árann)	Tipperary			Munster																																																							
Places	Tír Eoghain (Contae Thír Eoghain)	Tyrone			Ulster																																																							
Places	Port Láirge (Contae Phort Láirge)	Waterford			Munster																																																							
Places	An Iarmhí (Contae na hIarmhí)	Westmeath			Leinster																																																							
Places	Loch Garman (Contae Loch Garman)	Wexford			Leinster																																																							
Places	Cill Mhantáin (Contae Chill Mhantáin)	Wicklow			Leinster																																																							
Places																																																												
Places	Doire > nDoire	Derry																																																										
Places	Baile Átha Cliath > mBaile Átha Cliath	Dublin																																																										
Places	Corcaigh > gCorcaigh	Cork																																																										
Places																																																												
Places	Gleann Gormliath	Glengormley																																																										
Places	Gaoth Dobhair > nGaoth Dobhair	Gweedore																																																										
Places	Birmingham	Birmingham																																																										
Places	Gort an Choirce	Gortahork																																																										
Places	Leitir Ceanainn	Letterkenny																																																										
Places	Cnoc Fola	Bloody Foreland																																																										
Places	> mBéal Feirste	Belfast																																																										
Places	> nGlaschú	Glasgow																																																										
Places	> bPort Rois	Portrush																																																										
Places	>gCúil Raithlin	Coleraine																																																										
Places	>nDun Dealgan	Dundalk																																																										
Places	Dún Geanainn	Dungannon																																																										
Places	Léim an Mhadaidh	Limavady																																																										
Places	Port an Dúnáin	Portadown																																																										
Places																																																												
Places	Nua-Eabhrac	New York																																																										
Places	>nDún Éidin	Edinburgh																																																										
Places																																																												
Places	an Ghearmáin	Germany																																																										
Places	an Fhrainc	France																																																										
Languages	AG PLÉ TEANGACHA	DISCUSSING LANGUAGES	tchangaha??																																																									
Languages	An bhfuil ... agat?	Can you speak ...? (literally, Have you ...?)																																																										
Languages	An bhfuil Gaeilge agat?	Can you speak Irish?																																																										
Languages	An bhfuil Fraincis agat?	Can you speak French?																																																										
Languages	teanga	a language	tchangy??																																																									
Languages	teangacha	Languages	tchangaha??																																																									
Languages																																																												
Languages	Gaeilge	Irish																																																										
Languages	Fraincis	French																																																										
Languages	Béarla	English																																																										
Languages	Gearmáinis	German																																																										
Languages	Iodáilis	Itailian																																																										
Languages	Spáinnis	Spanish																																																										
Languages	Breatnais	Welsh																																																										
Languages	Gaeilge na hAlban	Gaelic (Scotland)																																																										
Languages																																																												
Languages																																																												
Languages	Tá Gaeilge líofa agam.	I speak Irish fluently.																																																										
Languages	Tá beagán Fraincise agam.	I speak a little French.																																																										
Languages	Tá mé ag foghlaim Gearmáinise.	I'm learning German.																																																										
Languages	Níl mórán Iodáilise agam.	I can't speak much Italian.																																																										
Languages	Níl aon Fraincis agam.	I don't speak french.																																																										
Languages																																																												
Languages	Tá.	Yes.																																																										
Languages	Níl.	No.																																																										
Languages	Beagán.	A little.																																																										
Languages	Tá. Tá mé líofa.	Yes. I'm fluent.	Ta. Ta may leefa																																																									
Languages	Tá mé ag foghlaim.	I'm learning.																																																										
Languages																																																												
Languages	Cad é na teangacha atá agat?	Which/what languages can you speak?																																																										
Languages	Cad é na teangacha eile atá agat?	Which/what other languages can you speak?																																																										
Languages																																																												
Languages	Tá Fraincis agus Gearmáinis agam.	I speak french and German.																																																										
Languages	Tá Iodáilis agam ach níl aon Spáinnis agam.	I speak Italian but I can't speak Spanish.																																																										
Languages	Níl aon Fraincis nó Spáinnis agam.	I speak neither french nor Spanish.																																																										
Languages																																																												
Languages	If you tell someone that you are learning a language, you might be asked where:																																																											
Languages																																																												
Languages	Cá háit?	Where?	Ca hatch?																																																									
Languages																																																												
Languages	Ón teilifís.	From the television.																																																										
Languages	Ón raidió.	From the radio.																																																										
Languages	Ag rang oíche.	At a night class.																																																										
Languages	San ollscoil	At the university																																																										
Languages	Ó fhístéipeanna sa bhaile.	From videotapes at home.																																																										
Languages	ó físeán	from video																																																										
Languages	ó físeáin	from videos																																																										
Languages																																																												
Languages	An dtuigeann tú Gaeilge?	Do you understand Irish?	an diggin to Gaelic?																																																									
Languages	Tuigim.	Yes (I do understand).																																																										
Languages	Ní thuigim.	No (I don't understand).																																																										
Languages																																																												
Languages	An ólann tú caife?	Do you drink coffee?																																																										
Languages	Ólaim.	Yes.																																																										
Languages	Ní ólaim	No.																																																										
Languages																																																												
Languages	Tuigim.	understand.																																																										
Languages	Ní thuigim.	I don't understand.																																																										
Languages																																																												
Languages	An bhfuil Gaeilge agat?	Can you speak Irish?																																																										
Languages	Tá	Yes.																																																										
Languages	Níl	No.																																																										
Expressing Opinions	Is maith liom ...	I like ...																																																										
Expressing Opinions	Is breá liom ...	I really like ...																																																										
Expressing Opinions		or																																																										
Expressing Opinions	Tá dúil mhór agam i(n)...	I really like ...																																																										
Expressing Opinions																																																												
Expressing Opinions	Ní maith liom ...	I don't like ...																																																										
Expressing Opinions	Ní maith liom ...ar chor ar bith.	I don't like ... at all.	...ar har a bee																																																									
Expressing Opinions	Ní maith liom ar chor ar bith é.	I don't like it at all.	...ar har a bee ay																																																									
Expressing Opinions	Ní maith liom ar chor ar bith iad.	I don't like them at all.	...ar har a bee ead																																																									
Expressing Opinions	Is fuath liom...	I hate ...																																																										
Expressing Opinions																																																												
Expressing Opinions	clár	programme																																																										
Expressing Opinions	cláracha	programmes																																																										
Expressing Opinions	cláracha faisnéise	documentaries																																																										
Expressing Opinions	cláracha spóirt	sports programmes																																																										
Expressing Opinions	cláracha ceoil	music programmes																																																										
Expressing Opinions	cláracha cainte	talk shows																																																										
Expressing Opinions	cláracha dúlra	nature programmes																																																										
Expressing Opinions																																																												
Expressing Opinions	banc	bank																																																										
Expressing Opinions	seacláid	chocolate																																																										
Expressing Opinions	portán	crab	porthaan																																																									
Expressing Opinions																																																												
Expressing Opinions	mar shampla	for example																																																										
Expressing Opinions	go háirithe	especially	go hairy-heh																																																									
Expressing Opinions																																																												
Expressing Opinions	Is maith liom a bheith ...	I like ...																																																										
Expressing Opinions																																																												
Expressing Opinions	ag garraíodóireacht	gardening	ag garaderact																																																									
Expressing Opinions	ag péinteáil	painting	ag paint-al																																																									
Expressing Opinions	ag cócaireacht	cooking	ag cocker-act																																																									
Expressing Opinions	ag iascaireacht	ag fishing	ag isc-a-ract																																																									
Expressing Opinions	ag léamh	reading	ag lay-oh																																																									
Expressing Opinions	ag siúl	walking	ag shool																																																									
Expressing Opinions																																																												
Expressing Opinions	Is maith liom ...	I like to ...																																																										
Expressing Opinions																																																												
