Topic	Irish	English	Phonetic	Sound	Info
Family_	an chéad Aibreán	first of april	an chid A-ibrin		
Family_	duine amháin	one person	dinye awan		
Family_	beirt	two people	birch		
Family_	triúr	three people	true-er		
Family_	ceathrar	four people	cah-rer		
Family_	cúigear	five people	cooiger		
Family_	seisear	six people	shesher		
Family_	seachtar	seven people	shocktar		
Family_	ochtar	eight people	oktar		
Family_	naonúr	nine people	neenar		
Family_	deichniúr	ten people	djenur		
Family_	seisear iníonacha				
Family_	triúr mac				
Family_	ceathrar buachaillí				
Family_	cúigear cailíní				
Family_	triúr iníonacha				
Family_	mac amháin				
Family_	beirt mhac				
Family_	beirt chailíní				
Family_	Tá $NUMBER páiste agam.	I have $NUMBER children.			
Family_					
Family_	scoil	school	skull		
Family_	naíonra	playschool	neenra		
Family_	naíscoil	nursery school	nee-skull		
Family_	bunscoil	primary school	bun-skull		
Family_	meánscoil	secondary school	man-skull		
Family_	ollscoil	university	ol-skull		
Family_					
Family_	Tá ... acu ar an scoil.	... of them are at school.			
Family_					
Family_	Tá beirt acu ar an scoil.	Two of them are at school.	...acu air an skull		
Family_	Tá duine amháin acu sa naíonra.	One of them is in playschool.	.. sa neenra		
Family_					
Family_	Tá Síle ar an bhunscoil.	Síle is at primary school.	...ar an whunskull		
Family_	Tá Aodh ar an mheánscoil.	Aodh is at secondary school.	...vanskull???		
Family_	Tá Nóra ar an ollscoil.	Nóra is at university.	..ol-skull		
					
