		I mo theach, tá … ann.	In my house, there is (a) … there.				
		Thuas staighre, tá…	Upstairs. there is…				
		Thíos staighre, tá…	Downstairs, there is…				
							
		Áiteanna i mo theach	Places in my house				
							
		an chistin	the kitchen				
		an seomra leapa / codlata	the bedroom				
		an seomra folctha	the bathroom				
		an seomra bia	the dining room				
		an seomra suí	the sitting room				
		an halla (iontrála)	the (entrance) hall				
		an leithreas	the toilet				
		an seomra staidéir	the study				
		an seomra gréine / grianán	the sun room / conservatory				
		staighre	stairs				
		seomra	room				
		dhá sheomra	two rooms				
		trí sheomra	three rooms				
		ceithre sheomra	four rooms				
		cúig sheomra	five rooms				
		sé sheomra	six rooms				
		seacht seomra	seven rooms				
		ocht seomra	eight rooms				
		naoi seomra	nine rooms				
		deich seomra	ten rooms				
		aon seomra dhéag	eleven rooms				
Hobbies and Interests		Caithimh aimsire	Pastimes				
		Spóirt agus aclaíocht	Sports and exercise				
		Spóirt eile	Other sports				
		Siamsaíocht agus cultúr	Entertainment and culture				
							
		peil Ghaelach	Gaelic football				
		sacar	soccer				
		rugbaí	rugby				
		eitpheil	volleyball				
		snámh	swimming				
		leadóg	tennis				
		dornálaíocht	boxing				
		rothaíocht	cycling				
		reathaíocht	running				
		dreapadóireacht	climbing				
		líonpheil	netball				
		cispheil	basketball				
		iománaíocht / iomáint	hurling				
		camógaíocht	camogie				
		cluiche corr	rounders				
		liathróid láimhe	handball				
		marcaíocht capail	horseriding				
		aclaíocht	athletics				
		damhsa Gaelach	Irish dancing				
		sciáil	skiing				
		scátáil	skating				
		clársciáil	snowboarding				
		surfáil	surfing				
		seoltóireacht	sailing				
		iascaireacht	fishing				
							
		ceol	music				
		damhsa / rince	dance				
		péinteáil	painting				
		drámaíocht	theatre				
		teilifís	TV				
		ealaíona agus ceardaíocht	arts and crafts				
		cluichí ríomhaire	computer games				
		cluichí cláir	board games				
		raidió	radio				
		Cad iad na caithimh aimsire atá agat?	What pastimes do you have?				
		Cad iad na súimeanna atá agat?	What interests do you have?				
		Is maith liom …	I like …				
		Ní maith liom …	I don't like …				
		Ní miste liom …	I don't mind …				
		Is breá liom …	I love …				
		Is fuath liom …	I hate …				
		Is fearr liom…	I prefer …				
		Tá suim / spéis agam i / sa…	I have an interest in…				
		Caithim a lán ama…	I spend a lot of time…				
		Is maith liom a bheith ag déanamh…	I like to be doing…				
							
		Éistim le ceol.	I listen to music.				
		Amharcaim ar an teilifís.	I watch TV.				
		Téim go dtí an phictiúrlann.	I go to the cinema.				
		Imrím cluichí ríomhaire.	I play computer games.				
		Déanaim cócaráil.	I cook.				
		Seinnim m'uirlis i mbanna ceoil.	I play my instrument in a music group.				
		Ligim mo scíth.	I relax.				
Pets and Animal		An bhfuil peata agat?	Do you have a pet?				
		Tá peata agam.	I do have a pet.				
		Níl peata agam.	I don't have a pet.				
		Cén t-ainm atá air/uirthi?	What's his/her name?				
		Pangur an t-ainm atá air/uirthi.	What's his/her name?				
		Cén sórt peata é/í?	What type of pet is he/she?				
		Is … é/í.	He/she's a …				
		Is madadh é.	He's a dog.				
		Is cat í.	She's a cat.				
							
		Tá $ANIMAL agam.	I have a $ANIMAL.				
		madadh	dog				
		cat	cat				
		coinín	rabbit				
		hamstar	hamster				
		capall	horse				
		iasc órga	goldfish				
		nathair	snake				
		toirtís	tortoise				
		muc ghuine	guinea pig				
		pearóid	parrot				
							
		Ar an fheirm					
							
		muc	pig				
		bó	cow				
		cearc	hen				
		asal	donkey				
		caora	sheep				
		gabhar	goat				
							
		Ag an zú					
							
		tíogar	tiger				
		eilifint	elephant				
		srónbheannach	rhino				
		rón	seal				
		síota	cheetah				
		moncaí	monkey				
		piongain	penguin				
		leon	lion				
Celebrations and Festivals		Lá na Bliana Úire	New Year's Day (1st January)				
		Lá Fhéile Bríde	St. Brigid's Day (1st February)				
		Máirt Inide	Shrove Tuesday				
		Lá Fhéile Vailintín	Valentine's Day (14th February)				
		Lá Fhéile Pádraig	St. Patrick's Day (17th March)				
		Lá na Máthaireacha	Mother's Day				
		Lá na hAmadán	April Fool's Day (1st April)				
		Aoine an Chéasta	Good Friday				
		Domhnach Cásca	Easter Sunday				
		Lá na nAithreacha	Father's Day				
		Oíche Shamhna	Halloween				
		Oíche Nollag	Christmas Eve				
		Lá Nollag	Christmas Day				
		Lá Fhéile Stiofáin	St. Stephen's Day (26th December)				
							
		cárta	card				
		beart	parcel				
		brat	flag				
		coinneal	candle				
		tinte ealaíne	fireworks				
		tine chnámh	bonfire				
		bronntanas	gift / present				
		paráid / mórshiúl	parade				
		slua / scaifte	crowd				
		siamsaíocht	entertainment				
							
		féile	festival				
		ceiliúradh	celebration				
		fleá ceoil	music festival				
		breithlá / lá breithe	birthday				
		cóisir	party				
		cóisir bhreithlae	birthday party				
		gealltanas pósta	engagement				
		pósadh / bainis	wedding				
		mí na meala	honeymoon				
		baisteadh	christening				
		bás	death				
		faire / tórramh	wake				
		sochraid	funeral				
